participant_id,behavior,gaze_angle_x_kurt,AU01_r_min,AU01_r_mean,AU01_r_stdev,AU02_r_min,AU02_r_mean,AU02_r_stdev,AU04_r_stdev,AU05_r_min,AU05_r_max,AU05_r_mean,AU05_r_stdev,AU06_r_min,AU06_r_max,AU06_r_mean,AU06_r_stdev,AU07_r_min,AU07_r_mean,AU07_r_stdev,AU09_r_min,AU09_r_mean,AU09_r_stdev,AU09_r_skew,AU10_r_min,AU10_r_mean,AU10_r_stdev,AU12_r_min,AU12_r_mean,AU12_r_stdev,AU14_r_min,AU14_r_mean,AU14_r_stdev,AU15_r_min,AU15_r_max,AU15_r_mean,AU15_r_stdev,AU17_r_min,AU17_r_mean,AU17_r_stdev,AU17_r_skew,AU20_r_min,AU20_r_max,AU20_r_mean,AU20_r_stdev,AU23_r_min,AU23_r_max,AU23_r_mean,AU23_r_stdev,AU23_r_skew,AU25_r_min,AU25_r_max,AU25_r_mean,AU25_r_stdev,AU25_r_skew,AU26_r_min,AU26_r_max,AU26_r_mean,AU26_r_stdev,AU26_r_skew,AU45_r_min,AU45_r_max,AU45_r_mean,AU45_r_stdev,LWrist_skew,MidHip_skew,MidHip_kurt,RHip_skew,RHip_kurt,RKnee_skew,RKnee_kurt,RAnkle_skew,RAnkle_kurt,LHip_skew,LHip_kurt,LKnee_skew,LKnee_kurt,LAnkle_skew,LAnkle_kurt,LBigToe_skew,LBigToe_kurt,LSmallToe_skew,LSmallToe_kurt,LHeel_skew,LHeel_kurt,RBigToe_skew,RBigToe_kurt,RSmallToe_skew,RSmallToe_kurt,RHeel_skew,RHeel_kurt,Wrist_L_max,Thumb1_L_max,Thumb2_L_max,Thumb3_L_max,Thumb4_L_max,Index1_L_max,Index2_L_max,Index3_L_max,Index4_L_max,Middle1_L_max,Middle2_L_max,Middle3_L_max,Middle4_L_max,Ring1_L_max,Ring2_L_max,Ring3_L_max,Ring4_L_max,Pinky1_L_max,Pinky2_L_max,Pinky3_L_max,Pinky4_L_max,Wrist_R_max,Wrist_R_skew,Wrist_R_kurt,Thumb1_R_min,Thumb1_R_max,Thumb1_R_skew,Thumb1_R_kurt,Thumb2_R_max,Thumb2_R_skew,Thumb2_R_kurt,Thumb3_R_min,Thumb3_R_max,Thumb3_R_skew,Thumb3_R_kurt,Thumb4_R_min,Thumb4_R_max,Thumb4_R_skew,Thumb4_R_kurt,Index1_R_max,Index1_R_skew,Index1_R_kurt,Index2_R_min,Index2_R_max,Index2_R_skew,Index2_R_kurt,Index3_R_min,Index3_R_max,Index3_R_skew,Index3_R_kurt,Index4_R_min,Index4_R_max,Index4_R_skew,Index4_R_kurt,Middle1_R_min,Middle1_R_max,Middle1_R_skew,Middle1_R_kurt,Middle2_R_min,Middle2_R_max,Middle2_R_skew,Middle2_R_kurt,Middle3_R_min,Middle3_R_max,Middle3_R_skew,Middle3_R_kurt,Middle4_R_min,Middle4_R_max,Middle4_R_skew,Middle4_R_kurt,Ring1_R_min,Ring1_R_max,Ring1_R_skew,Ring1_R_kurt,Ring2_R_min,Ring2_R_max,Ring2_R_skew,Ring2_R_kurt,Ring3_R_min,Ring3_R_max,Ring3_R_skew,Ring3_R_kurt,Ring4_R_max,Ring4_R_skew,Ring4_R_kurt,Pinky1_R_min,Pinky1_R_max,Pinky1_R_skew,Pinky1_R_kurt,Pinky2_R_min,Pinky2_R_max,Pinky2_R_skew,Pinky2_R_kurt,Pinky3_R_min,Pinky3_R_max,Pinky3_R_stdev,Pinky3_R_skew,Pinky3_R_kurt,Pinky4_R_min,Pinky4_R_max,Pinky4_R_skew,Pinky4_R_kurt
1,4,2.745533,0.0,0.0,0.0,0.0,0.0,0.0,0.208404,0.0,0.59,0.0566,0.152631,0.03,0.9,0.4526,0.253013,0.0,0.1696,0.196666,0.0,0.0042,0.016174,4.882793,0.01,0.4896,0.223268,0.64,1.0364,0.176297,0.82,1.816,0.545983,0.0,0.94,0.1402,0.22734000000000001,0.72,1.6156,0.389773,-0.721789,0.0,1.2,0.6854,0.32698499999999997,0.0,0.78,0.4104,0.275073,-0.066101,0.27,1.19,0.7506,0.254441,0.058599,0.0,0.86,0.4598,0.193628,-0.48818199999999995,0.0,0.13,0.0026,0.018385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,4,0.258409,0.0,0.0,0.0,0.0,0.0,0.0,0.089817,0.0,0.0,0.0,0.0,0.19,0.92,0.3898,0.12792699999999999,0.0,0.0128,0.048991,0.0,0.01,0.017023,1.809854,0.0,0.5198,0.167436,0.66,0.8776,0.17996099999999998,0.5,1.444,0.564504,0.0,0.0,0.0,0.0,0.62,1.228,0.326534,-0.54948,0.0,1.35,0.4644,0.351435,0.0,0.64,0.1682,0.19375699999999998,1.089948,0.55,1.27,0.9062,0.206654,0.14414200000000002,0.0,0.52,0.0874,0.140085,1.669404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,1,-0.007272,0.0,0.0,0.0,0.0,0.0,0.0,0.214013,0.0,0.0,0.0,0.0,0.13,0.93,0.5112,0.275508,0.0,0.0618,0.088725,0.0,0.044,0.044721,0.832536,0.23,0.6198,0.170443,0.5,0.9414,0.349419,0.56,1.2044,0.596357,0.0,0.0,0.0,0.0,0.0,0.9194,0.348457,-1.0555709999999998,0.3,1.37,0.7942,0.35796500000000003,0.0,0.0,0.0,0.0,0.0,0.49,1.52,0.944,0.328671,0.245734,0.0,1.05,0.3968,0.31238,-0.006498,0.0,0.66,0.075,0.179526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,1,-0.9225780000000001,0.0,0.1814,0.22440900000000003,0.0,0.0032,0.009134,0.309196,0.0,1.74,0.2498,0.523109,0.0,0.52,0.2432,0.166543,0.0,0.085,0.104398,0.0,0.0266,0.096185,3.8249089999999994,0.0,0.4696,0.346634,0.09,1.0498,0.5502520000000001,0.41,1.3154,0.739449,0.0,0.2,0.0392,0.058303999999999995,0.0,0.483,0.343025,-0.135608,0.0,1.32,0.2568,0.40634000000000003,0.0,1.59,0.1238,0.324395,3.272152,0.0,1.31,0.4136,0.38548000000000004,0.402472,0.26,1.55,0.6188,0.355187,1.0677299999999998,0.0,2.94,0.8514,1.009575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,1,4.451415,0.0,0.2138,0.444866,0.0,0.112,0.262235,0.290912,0.0,0.81,0.0696,0.190498,0.0,0.96,0.2496,0.229079,0.0,0.0236,0.046104,0.0,0.2146,0.197652,0.433396,0.25,0.8824,0.397038,0.46,1.373,0.590691,0.65,1.6296,0.56791,0.0,0.74,0.1076,0.20766500000000002,0.15,0.5698,0.219977,0.549501,0.0,0.89,0.288,0.320911,0.0,0.91,0.1642,0.24133200000000002,1.6768189999999998,0.0,1.66,0.9444,0.46768699999999996,-0.629091,0.08,1.48,0.7644,0.38731,0.24479499999999998,0.0,1.94,0.3518,0.6033029999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,1,-0.731824,0.0,0.019,0.038186000000000005,0.0,0.0,0.0,0.201283,0.0,0.58,0.1326,0.192956,0.03,1.02,0.627,0.28571599999999997,0.0,0.0382,0.060666,0.0,0.0044,0.012315999999999999,2.909339,0.73,1.312,0.306521,1.12,2.02,0.39459099999999997,1.22,2.1096,0.46138199999999996,0.0,0.65,0.0454,0.125458,0.0,0.397,0.275179,0.505989,0.0,1.37,0.473,0.49862,0.0,0.45,0.0426,0.12331800000000001,2.7701189999999998,0.0,1.67,0.7588,0.574817,-0.009372,0.0,1.09,0.6842,0.326735,-0.516931,0.0,2.96,1.0708,1.3088600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,1,-0.018909,0.0,0.7132,1.15268,0.0,0.315,0.7279,0.28064,0.0,2.4,0.2802,0.590674,0.0,0.8,0.2184,0.243515,0.0,0.0742,0.137545,0.0,0.066,0.208101,3.191362,0.0,0.5192,0.53715,0.18,1.53,0.6585260000000001,0.39,1.9322,0.614267,0.0,1.07,0.1968,0.267257,0.07,0.6108,0.344163,0.349366,0.0,1.0,0.194,0.30151300000000003,0.0,1.66,0.438,0.486705,1.0254450000000002,0.0,1.13,0.2974,0.361645,1.137564,0.13,2.03,1.0838,0.476286,0.29834499999999997,0.0,3.03,0.9518,1.219282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,2,-0.770692,0.0,0.4556,0.514191,0.0,0.0186,0.042137,0.542515,0.0,0.33,0.0318,0.07948,0.0,0.0,0.0,0.0,0.0,0.166,0.38104,0.0,0.0648,0.12521400000000002,1.900643,0.0,0.3448,0.493911,0.13,0.8206,0.42460699999999996,0.26,1.7572,0.8229069999999999,0.0,1.05,0.3012,0.308311,0.08,0.5362,0.43095500000000003,0.9546610000000001,0.0,0.0,0.0,0.0,0.0,1.4,0.318,0.45183100000000004,1.221675,0.0,1.55,0.4144,0.536999,0.8578309999999999,0.0,3.26,0.8164,0.66915,1.362268,0.0,2.99,1.1316,1.319988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,3,0.875934,0.0,0.0468,0.13059400000000002,0.0,0.0,0.0,0.15943,0.0,0.11,0.0032,0.016956,0.0,0.0,0.0,0.0,0.0,0.078,0.100204,0.0,0.1588,0.153525,0.646605,0.0,0.1834,0.13417300000000001,0.28,0.5402,0.143192,0.01,0.905,0.45751400000000003,0.0,0.97,0.1044,0.203982,0.02,0.6244,0.269043,-0.687588,0.0,0.32,0.0294,0.079087,0.0,0.34,0.0138,0.053257000000000006,5.409066,0.72,1.96,1.3358,0.31704,-0.0070680000000000005,0.0,3.06,1.4828,0.888459,-0.106083,0.0,1.07,0.0906,0.25166700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
1,3,0.214797,0.0,0.0522,0.149875,0.0,0.0,0.0,0.127711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562,0.14002799999999999,0.0,0.0926,0.146536,1.699532,0.0,0.1686,0.146008,0.17,0.4538,0.188494,0.35,0.8714,0.32906799999999997,0.0,0.5,0.247,0.151553,0.4,0.869,0.24126599999999998,0.753517,0.0,0.23,0.0422,0.07180700000000001,0.0,0.17,0.0124,0.037174,3.1996900000000004,0.84,1.61,1.2166,0.19864400000000002,-0.284273,0.0,2.97,1.2772,0.770388,0.41304300000000005,0.0,1.28,0.1178,0.338413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,735.0,735.0,0.0,0.0,0.0,735.0,735.0,0.0,0.0
